Model,Cost,Timestamp,Real Cost
dall-e-3,0.0,2023-12-25 11:33:59.678271,
gpt-4-1106-preview,0.0015899999999999,2023-12-25 11:34:00.070699,
dall-e-3,0.0,2023-12-25 13:41:41.553725,
gpt-4-1106-preview,0.00103,2023-12-25 13:41:41.921729,
gpt-4-1106-preview,0.01175,2023-12-25 13:41:57.893173,
apify,0.0511684651913477,2023-12-25 13:45:45.295197,
gpt-4-1106-preview,6e-05,2023-12-25 13:45:45.515511,
gpt-4-1106-preview,0.01398,2023-12-25 13:45:51.528635,
gpt-4-1106-preview,0.01893,2023-12-25 13:50:41.064215,
dall-e-3,0.4,2023-12-25 14:05:08.858888,
gpt-4-1106-preview,0.00123,2023-12-25 14:05:09.251530,
gpt-4-1106-preview,0.01301,2023-12-25 14:05:25.252410,
